product,title,rating,text_review
Where the Crawdads Sing,I stopped reading,1.0,"I managed to get halfway through this book. Thought it somewhat daft but then it leaped into improbability drive. I burst out laughing because it just became ludicrous and then gave up with it. Very, very silly,"
Where the Crawdads Sing,Stick With It,4.0,"Gradually abandoned by her family and shunned by the locals of Barkley Cove,Kya manages to eke out a living in the surrounding swampland.Although she is supported by Jumpin and his wife Mabel from Colored Town,their social status is barely above her own.Kya quickly becomes more at ease with nature than people and her relationships with the opposite sex are traumatic.Delia Owens' rich,descriptive prose gives us a valuable insight into the scenery and wildlife of the region but most importantly the intriguing character of Kya.I gave this four stars because the beginning was painfully slow,the poetry becomes annoying after a time and the timetable of events at the Fire Tower seemed implausible."
Where the Crawdads Sing,Boring about a girl walking through mud.,1.0,"The blurb of this book suggest an interesting crime thriller with twists and turns along the way. That couldn't be farther from the truth. The book - at least the first 100 pages of it - is just simply a little girl walking through mud. That's it, that's the plot. The dialogue is also horribly written, with the author writing down the pronunciations rather than just the words, essentially making it near impossible to read and understand, which in itself is incredibly frustrating. The murder part does happen, but it's not a big plot point, just randomly placed here and there to act as a break from reading about a girl walking through mud.As said above, I am currently only 100 pages in and already falling asleep every time I pick it up. I can see that the end of Part 1 is in sight, so I will keep going until then at least, but if nothing changes, I'm afraid I will have to stop reading.I don't usually quit on a book, but this one is so dull, frustrating to read and waffles on and on and on that I may just have to make an exception."
Where the Crawdads Sing,The most amazing book,5.0,"I was so looking forward to this book and I have to say it didn't disappoint.  The story is exceptionally well written.  The Author wraps all the characters around you so they are believable. The story is based around a girl left to survive on her own  deep in the marsh land of the Carolinas, where she has been abandoned, mistrusted  by almost everyone.  She manages to survive through many strife's until, years later,  there is a body found and villagers, not knowing what else to do, point the finger at the Marsh girl they have come to fear over the years ....  I will say, the story had me hooked from page one and it was finished within 24 hours!!!"
Where the Crawdads Sing,"Croak, Croak",3.0,"When a female friend I trust recommended this book, I downloaded it without hesitation, but was then overcome by misgivings that I had let myself in for a cloying dose of chick lit. The opening of the novel, written in barely comprehensible Deep Southern dialect, did not reassure me; it almost stopped me in my tracks, but I persevered and did not regret it even though the story line is preposterous. That Kya, a six-year-old girl, would be serially abandoned by her mother, brother and father, leaving her to  bring herself up alone in a swamp while evading the legitimate benign interest of the social services stretches credulity to the limit. However, her history is told with such vim and affection for place and time that one is drawn into the fantasy with the added incentive of having a mystery to solve once the little girl has grown to a woman of twenty-two. The novel switches from the past to present almost every alternate chapter, which helps to sustain interest in both the history and the mystery. Anyone, like me, who has pursued a career in the natural sciences will be drawn to the author’s portrayal of Kya’s passion for ecology, which saves her from maddening isolation. There is a lonely corner in everyone’s life where a Kya-like figure might inhabit, and her sexual awakening is described in such painfully frank and realistic detail that it helps to reconnect suspended belief. The patient detective work and the courtroom drama are also well woven into the narrative. However, there was too great a tendency in the novel towards exaggerated wish fulfilment to avoid the taste of saccharine overwhelming my sensitive palate. Amongst other things, abandoned and deprived children almost never thrive, vanishingly few amateur naturalists (Jane Goodall being the exception) outshine the professionals and not all people from ethnic minorities are warm and generous; to imply otherwise does injustice to reality. Moreover, the outcome of the mystery is so telegraphed that it becomes more of a whydunnit than a whodunnit. After all, Where the Crawdads Sing is politically correct chick lit, albeit extremely well-crafted and endearing even to an old curmudgeon like me."
Where the Crawdads Sing,Why is it that everybody thinks this book is so good?,1.0,"Let’s take the positive to start with.  The swampy meandering prose conveys a good sense of place.BUT, the characterisation is is universally unappealing and unconvincing.  As a result, you end up not caring what happens next.  The coming of age theme has the smuttiness normally associated with such a theme.  The ethology theme seems artificial and too clever by half.  This is a contrived book written, I suspect, for people who would want to think that they are lapping up a flavour of the swamps and marshes of North Carolina without ever straying from the air conditioned comfort of their strictly tarmac-ed existences.  I don’t normally complain about lack of authenticity in novels - novels are fiction after all - but this is pretentious un-authenticity!"
Where the Crawdads Sing,Nicely written.,3.0,"I enjoyed most of this book, and it was nicely written so it was quite easy to ignore some of the more irritating things, like constant head-hopping, and the fact that the main character's situation was a bit far-fetched. Her sudden change from wild child to (quite prim) author of brilliantly-received books was a bit of a jump; I'd have preferred to have read a little more about how it happened, that might have made it more believable. I thought that was brushed aside too quickly, and meant I didn't really experience it the way a reader should.The murder storyline held me for a while, but ultimately it was no surprise when I found the 'twist.' It was kind of telegraphed.The characters, which should have been the driving force behind what seemed like a literary novel at first, were mostly flat and cliched;  that was a disappointment; much more could have been made of them, which would have enriched the reading experience. The brother coming and going was a bit pointless and went nowhere, and the white-hat/black-hat aspect of the two young men in Kya's life was another cliche that brought the rating down.The writing was often startlingly good, there were many sentences which really sang, but overall it all felt a bit cobbled together, and the intrigue felt shoe-horned in. Also it did feel a bit like a nature lesson at times, with the descriptions nicely done but unnecessary, and delivered in a very lecture-like way. Not as they'd be viewed from the 'Swamp Girl's' perspective.Overall then, I liked the writing, and the premise was promising, but I don't think it quite delivered in the end."
Where the Crawdads Sing,Quite weak,1.0,Was highly recommended by most people yet I ploughed through wishing it would end.Very unrealistic ending and an overall story not believable at all.Probably more suitable for high school reading.
Where the Crawdads Sing,Not well written!,1.0,Pretty awful!
Where the Crawdads Sing,A unique and moving first novel,5.0,"Wow..…..this first novel really has polarised opinion!  I read it because it was recommended by a friend.  If I had seen the reviews first – especially the US ones – I might not have bothered.  I am extremely glad that I did.They say you should write what you know –  for your first attempt at least –  and that is just what Delia Owens has done with Where the Crawdads Sing.  The book is therefore a mix of story, poetry, murder-mystery and expert scientific understanding of fauna and flora.  I found it to be a fascinating combination.The story line is ambitious, with two simultaneous timelines – the earlier one stretching over the years from 1952 onwards, and the second starting at 1969.  The first line gradually catches up with the second, until they merge into a satisfying denouement.I would agree with those who say that the story – of a little girl abandoned to fend for herself in the marshland of North Carolina and her subsequent emergence into an expert in her scientific field, despite only one day at school in her life – is highly unlikely……  but so what?  This is, after all, a work of fiction which draws on the rich imagination of the author, coupled with her own knowledge and experience.  Many of the best works of fiction go beyond likelihood – look at most of Dickens’ novels – and thank goodness they do.I wonder if the American readers found it hard to take the portrayal of prejudice against the main character and of racism in general, which we all know was endemic at that time.  The British have learned to regard the constant criticism of their colonial past with the composure of a people confident in their long and largely illustrious history.  Perhaps the more recently rooted Americans need longer to cease trying to prove themselves.  For whatever the reason, I was shocked to see the thousands who agreed with the vitriol of some of the US reviewers.Do read this book.  It is totally unique.  It is at times very moving, and it is a superb first novel."
